topo_position,dataset,ours_rank,total_rank_sum_compare,n_trees_value_compare,n_trees_rank_compare,used_value_compare,used_rank_compare,leaves_value_compare,leaves_rank_compare,eu_mean_value_compare,eu_mean_rank_compare
0,MoteStrain,1,285,50,4,45,49,132,66,1.62,57
1,ECGFiveDays,3,276,100,3,47,47,223,63,1.66,56
2,GunPointOldVersusYoung,1,271,100,3,51,46,212,64,1.84,53
3,Coffee,3,265,100,3,115,40,287,60,1.52,59
4,InsectEPGSmallTrain,1,259,100,3,194,28,327,58,1.17,66
5,FreezerRegularTrain,3,255,50,4,108,41,300,59,1.92,52
6,DiatomSizeReduction,3,253,100,3,170,30,357,57,1.48,61
7,ItalyPowerDemand,1,252,50,4,22,51,184,65,4.18,38
8,InsectEPGRegularTrain,1,249,100,3,237,24,385,56,1.18,65
9,PowerCons,1,248,50,4,60,45,272,61,3.22,43
10,Chinatown,1,247,100,3,24,50,246,62,4.00,39
11,BME,1,241,100,3,96,42,394,55,2.41,47
12,OliveOil,1,240,100,3,246,23,455,54,1.41,64
13,BeetleFly,1,237,200,1,201,27,552,53,1.42,62
14,BirdChicken,1,236,200,1,202,26,566,52,1.42,63
15,Beef,3,224,200,1,131,38,641,50,2.37,48
16,UMD,1,213,100,3,136,37,639,51,3.75,41
17,Herring,1,204,100,3,375,18,861,49,1.93,51
18,Lightning2,3,198,150,2,430,16,990,44,1.83,54
19,ToeSegmentation2,2,198,150,2,302,20,895,48,2.35,49
20,Plane,3,197,100,3,139,36,913,47,5.32,35
21,Strawberry,2,193,50,4,215,25,943,46,3.85,40
22,GunPointAgeSpan,3,189,100,3,148,33,983,45,5.45,34
23,Lightning7,2,189,100,3,273,21,1072,42,3.02,44
24,CinCECGTorso,3,185,200,1,697,11,1450,39,1.60,58
25,GunPointMaleVersusFemale,2,185,150,2,148,33,1066,43,5.46,33
26,GunPoint,2,181,200,1,146,34,1160,41,5.75,32
27,ProximalPhalanxOutlineAgeGroup,1,174,150,2,76,44,1615,37,11.89,23
28,ECG200,2,173,200,1,96,42,1623,36,9.53,26
29,MiddlePhalanxOutlineAgeGroup,3,173,150,2,80,43,1600,38,13.94,22
30,HandOutlines,2,172,50,4,1038,3,1686,35,1.52,60
31,Wafer,2,171,100,3,152,32,1388,40,8.00,27
32,MiddlePhalanxTW,1,164,150,2,80,43,1809,32,17.68,20
33,ECG5000,2,163,100,3,140,35,1758,34,9.96,25
34,ACSF1,1,161,100,3,1024,4,1888,31,1.73,55
35,ProximalPhalanxOutlineCorrect,1,161,50,4,80,43,1990,30,21.24,19
36,Mallat,2,160,200,1,704,10,1805,33,2.20,50
37,Earthquakes,1,152,150,2,471,14,2046,28,3.73,42
38,Ham,3,150,200,1,410,17,2028,29,4.28,37
39,DistalPhalanxTW,2,146,100,3,80,43,3110,25,33.71,16
40,SmoothSubspace,2,141,200,1,15,52,2515,27,100.53,4
41,Haptics,2,140,100,3,973,7,2763,26,2.72,45
42,ProximalPhalanxTW,2,129,200,1,80,43,4870,21,49.65,13
43,SemgHandGenderCh2,3,127,200,1,1172,2,3495,23,2.62,46
44,SmallKitchenAppliances,3,127,150,2,621,12,3400,24,4.58,36
45,InsectWingbeatSound,1,121,100,3,256,22,3972,22,14.71,21
46,ChlorineConcentration,1,118,150,2,166,31,6036,19,29.59,17
47,MiddlePhalanxOutlineCorrect,1,118,100,3,80,43,6328,17,75.33,9
48,DistalPhalanxOutlineCorrect,2,112,150,2,80,43,7119,16,80.45,7
49,Fish,3,105,200,1,463,15,5451,20,11.13,24
50,SyntheticControl,3,104,200,1,60,45,8033,13,118.23,3
51,StarLightCurves,2,96,150,2,1015,6,6050,18,5.76,31
52,SwedishLeaf,2,94,150,2,128,39,10798,11,80.45,6
53,Adiac,3,93,200,1,176,29,10076,12,45.85,14
54,PhalangesOutlinesCorrect,1,91,150,2,80,43,14509,8,162.99,2
55,UWaveGestureLibraryAll,2,90,100,3,942,8,7236,15,7.56,29
56,MixedShapesRegularTrain,2,83,200,1,1022,5,8000,14,7.54,30
57,Crop,2,80,200,1,46,48,121329,1,1599.72,1
58,UWaveGestureLibraryZ,3,80,100,3,315,19,11644,10,36.35,15
59,UWaveGestureLibraryX,3,68,150,2,315,19,17621,7,54.65,12
60,EthanolLevel,3,59,200,1,1722,1,13619,9,7.71,28
61,NonInvasiveFetalECGThorax2,2,55,150,2,750,9,19972,6,25.86,18
62,UWaveGestureLibraryY,3,55,200,1,315,19,26462,5,80.09,8
63,FordB,3,48,200,1,500,13,37684,4,74.82,10
64,FordA,3,42,200,1,500,13,40566,3,80.60,5
65,NonInvasiveFetalECGThorax1,2,38,200,1,750,9,43037,2,56.69,11
