dataset,acc_tsf,acc_1nn_dtw,source
ACSF1,0.667000,0.553667,tsml-eval (mean over resamples)
Adiac,0.715686,0.603410,tsml-eval (mean over resamples)
ArrowHead,0.784190,0.722095,tsml-eval (mean over resamples)
BME,0.960444,0.880889,tsml-eval (mean over resamples)
Beef,0.677778,0.504444,tsml-eval (mean over resamples)
BeetleFly,0.823333,0.775000,tsml-eval (mean over resamples)
BirdChicken,0.821667,0.840000,tsml-eval (mean over resamples)
CBF,0.963519,0.993481,tsml-eval (mean over resamples)
Car,0.746111,0.675000,tsml-eval (mean over resamples)
Chinatown,0.954227,0.935277,tsml-eval (mean over resamples)
ChlorineConcentration,0.732144,0.644054,tsml-eval (mean over resamples)
CinCECGTorso,0.971570,0.668502,tsml-eval (mean over resamples)
Coffee,0.989286,0.985714,tsml-eval (mean over resamples)
Computers,0.757467,0.702533,tsml-eval (mean over resamples)
CricketX,0.695299,0.767350,tsml-eval (mean over resamples)
CricketY,0.701368,0.737009,tsml-eval (mean over resamples)
CricketZ,0.709231,0.772222,tsml-eval (mean over resamples)
Crop,0.751514,0.710748,tsml-eval (mean over resamples)
DiatomSizeReduction,0.940632,0.962092,tsml-eval (mean over resamples)
DistalPhalanxOutlineAgeGroup,0.809832,0.749161,tsml-eval (mean over resamples)
DistalPhalanxOutlineCorrect,0.811836,0.758333,tsml-eval (mean over resamples)
DistalPhalanxTW,0.688729,0.605516,tsml-eval (mean over resamples)
ECG200,0.850667,0.792667,tsml-eval (mean over resamples)
ECG5000,0.943096,0.925141,tsml-eval (mean over resamples)
ECGFiveDays,0.923229,0.774603,tsml-eval (mean over resamples)
EOGHorizontalSignal,0.692910,0.591344,tsml-eval (mean over resamples)
EOGVerticalSignal,0.663628,0.534807,tsml-eval (mean over resamples)
Earthquakes,0.747242,0.702158,tsml-eval (mean over resamples)
ElectricDevices,0.805187,0.754481,tsml-eval (mean over resamples)
EthanolLevel,0.674000,0.267467,tsml-eval (mean over resamples)
FaceAll,0.944181,0.940276,tsml-eval (mean over resamples)
FaceFour,0.895833,0.850379,tsml-eval (mean over resamples)
FacesUCR,0.894211,0.899366,tsml-eval (mean over resamples)
FiftyWords,0.726740,0.686374,tsml-eval (mean over resamples)
Fish,0.824952,0.758667,tsml-eval (mean over resamples)
FordA,0.818460,0.578460,tsml-eval (mean over resamples)
FordB,0.785267,0.646173,tsml-eval (mean over resamples)
FreezerRegularTrain,0.997485,0.900877,tsml-eval (mean over resamples)
FreezerSmallTrain,0.971825,0.802023,tsml-eval (mean over resamples)
GunPoint,0.963556,0.876444,tsml-eval (mean over resamples)
GunPointAgeSpan,0.984705,0.988924,tsml-eval (mean over resamples)
GunPointMaleVersusFemale,0.995781,0.974156,tsml-eval (mean over resamples)
GunPointOldVersusYoung,1.000000,1.000000,tsml-eval (mean over resamples)
Ham,0.794921,0.686984,tsml-eval (mean over resamples)
HandOutlines,0.907117,0.857207,tsml-eval (mean over resamples)
Haptics,0.464502,0.391126,tsml-eval (mean over resamples)
Herring,0.607292,0.567187,tsml-eval (mean over resamples)
HouseTwenty,0.852941,0.919888,tsml-eval (mean over resamples)
InlineSkate,0.365758,0.394424,tsml-eval (mean over resamples)
InsectEPGRegularTrain,1.000000,1.000000,tsml-eval (mean over resamples)
InsectEPGSmallTrain,1.000000,1.000000,tsml-eval (mean over resamples)
InsectWingbeatSound,0.616936,0.345758,tsml-eval (mean over resamples)
ItalyPowerDemand,0.957694,0.922352,tsml-eval (mean over resamples)
LargeKitchenAppliances,0.641778,0.796089,tsml-eval (mean over resamples)
Lightning2,0.746995,0.821311,tsml-eval (mean over resamples)
Lightning7,0.716438,0.705936,tsml-eval (mean over resamples)
Mallat,0.924819,0.937171,tsml-eval (mean over resamples)
Meat,0.981667,0.970556,tsml-eval (mean over resamples)
MedicalImages,0.758289,0.736579,tsml-eval (mean over resamples)
MiddlePhalanxOutlineAgeGroup,0.660606,0.562338,tsml-eval (mean over resamples)
MiddlePhalanxOutlineCorrect,0.797365,0.713173,tsml-eval (mean over resamples)
MiddlePhalanxTW,0.569697,0.500866,tsml-eval (mean over resamples)
MixedShapesRegularTrain,0.919711,0.852784,tsml-eval (mean over resamples)
MixedShapesSmallTrain,0.830887,0.794158,tsml-eval (mean over resamples)
MoteStrain,0.858653,0.830272,tsml-eval (mean over resamples)
NonInvasiveFetalECGThorax1,0.883681,0.788702,tsml-eval (mean over resamples)
NonInvasiveFetalECGThorax2,0.916709,0.860746,tsml-eval (mean over resamples)
OSULeaf,0.627824,0.620110,tsml-eval (mean over resamples)
OliveOil,0.894444,0.867778,tsml-eval (mean over resamples)
PhalangesOutlinesCorrect,0.811772,0.752176,tsml-eval (mean over resamples)
Phoneme,0.211129,0.233228,tsml-eval (mean over resamples)
PigAirwayPressure,0.322276,0.182051,tsml-eval (mean over resamples)
PigArtPressure,0.392468,0.456891,tsml-eval (mean over resamples)
PigCVP,0.301763,0.305929,tsml-eval (mean over resamples)
Plane,0.993651,0.999365,tsml-eval (mean over resamples)
PowerCons,0.993519,0.888519,tsml-eval (mean over resamples)
ProximalPhalanxOutlineAgeGroup,0.845854,0.771382,tsml-eval (mean over resamples)
ProximalPhalanxOutlineCorrect,0.850859,0.809737,tsml-eval (mean over resamples)
ProximalPhalanxTW,0.802276,0.739675,tsml-eval (mean over resamples)
RefrigerationDevices,0.615911,0.571467,tsml-eval (mean over resamples)
Rock,0.764667,0.655333,tsml-eval (mean over resamples)
ScreenType,0.566756,0.468000,tsml-eval (mean over resamples)
SemgHandGenderCh2,0.946000,0.926111,tsml-eval (mean over resamples)
SemgHandMovementCh2,0.878000,0.799037,tsml-eval (mean over resamples)
SemgHandSubjectCh2,0.923185,0.876148,tsml-eval (mean over resamples)
ShapeletSim,0.513333,0.656296,tsml-eval (mean over resamples)
ShapesAll,0.799444,0.766167,tsml-eval (mean over resamples)
SmallKitchenAppliances,0.806844,0.634578,tsml-eval (mean over resamples)
SmoothSubspace,0.986222,0.822667,tsml-eval (mean over resamples)
SonyAIBORobotSurface1,0.858625,0.807543,tsml-eval (mean over resamples)
SonyAIBORobotSurface2,0.873312,0.848129,tsml-eval (mean over resamples)
StarLightCurves,0.969884,0.914801,tsml-eval (mean over resamples)
Strawberry,0.967387,0.953604,tsml-eval (mean over resamples)
SwedishLeaf,0.893547,0.785387,tsml-eval (mean over resamples)
Symbols,0.884724,0.939799,tsml-eval (mean over resamples)
SyntheticControl,0.989889,0.991889,tsml-eval (mean over resamples)
ToeSegmentation1,0.661257,0.735965,tsml-eval (mean over resamples)
ToeSegmentation2,0.788462,0.840513,tsml-eval (mean over resamples)
Trace,0.997000,1.000000,tsml-eval (mean over resamples)
TwoLeadECG,0.866257,0.918203,tsml-eval (mean over resamples)
TwoPatterns,0.990275,1.000000,tsml-eval (mean over resamples)
UMD,0.806944,0.842593,tsml-eval (mean over resamples)
UWaveGestureLibraryAll,0.960720,0.895812,tsml-eval (mean over resamples)
UWaveGestureLibraryX,0.804188,0.728122,tsml-eval (mean over resamples)
UWaveGestureLibraryY,0.726270,0.624809,tsml-eval (mean over resamples)
UWaveGestureLibraryZ,0.740313,0.655704,tsml-eval (mean over resamples)
Wafer,0.996918,0.984107,tsml-eval (mean over resamples)
Wine,0.857407,0.859259,tsml-eval (mean over resamples)
WordSynonyms,0.643887,0.646290,tsml-eval (mean over resamples)
Worms,0.620346,0.574026,tsml-eval (mean over resamples)
WormsTwoClass,0.682684,0.675325,tsml-eval (mean over resamples)
Yoga,0.862578,0.846589,tsml-eval (mean over resamples)
